date,quarter,department,day,team,targeted_productivity,smv,wip,over_time,incentive,idle_time,idle_men,no_of_style_change,no_of_workers,actual_productivity
1/1/2015,Quarter1,sweing,Thursday,8,0.8,26.16,1108.0,7080.0,98.0,0.0,0,0,59.0,0.940725
1/1/2015,Quarter1,finishing ,Thursday,1,0.75,3.94,,960.0,0.0,0.0,0,0,8.0,0.8865
1/1/2015,Quarter1,sweing,Thursday,11,0.8,11.41,968.0,3660.0,50.0,0.0,0,0,30.5,0.80057
1/1/2015,Quarter1,sweing,Thursday,12,0.8,11.41,968.0,3660.0,50.0,0.0,0,0,30.5,0.80057
1/1/2015,Quarter1,sweing,Thursday,6,0.8,25.9,1170.0,1920.0,50.0,0.0,0,0,56.0,0.800382
1/1/2015,Quarter1,sweing,Thursday,7,0.8,25.9,984.0,6720.0,38.0,0.0,0,0,56.0,0.800125
1/1/2015,Quarter1,finishing ,Thursday,2,0.75,3.94,,960.0,0.0,0.0,0,0,8.0,0.755167
1/1/2015,Quarter1,sweing,Thursday,3,0.75,28.08,795.0,6900.0,45.0,0.0,0,0,57.5,0.753683
1/1/2015,Quarter1,sweing,Thursday,2,0.75,19.87,733.0,6000.0,34.0,0.0,0,0,55.0,0.753098
1/1/2015,Quarter1,sweing,Thursday,1,0.75,28.08,681.0,6900.0,45.0,0.0,0,0,57.5,0.750428
1/1/2015,Quarter1,sweing,Thursday,9,0.7,28.08,872.0,6900.0,44.0,0.0,0,0,57.5,0.721127
1/1/2015,Quarter1,sweing,Thursday,10,0.75,19.31,578.0,6480.0,45.0,0.0,0,0,54.0,0.712205
1/1/2015,Quarter1,sweing,Thursday,5,0.8,11.41,668.0,3660.0,50.0,0.0,0,0,30.5,0.707046
1/1/2015,Quarter1,finishing ,Thursday,10,0.65,3.94,,960.0,0.0,0.0,0,0,8.0,0.705917
1/1/2015,Quarter1,finishing ,Thursday,8,0.75,2.9,,960.0,0.0,0.0,0,0,8.0,0.676667
1/1/2015,Quarter1,finishing ,Thursday,4,0.75,3.94,,2160.0,0.0,0.0,0,0,18.0,0.593056
1/1/2015,Quarter1,finishing ,Thursday,7,0.8,2.9,,960.0,0.0,0.0,0,0,8.0,0.540729
1/1/2015,Quarter1,sweing,Thursday,4,0.65,23.69,861.0,7200.0,0.0,0.0,0,0,60.0,0.52118
1/1/2015,Quarter1,finishing,Thursday,11,0.7,4.15,,1440.0,0.0,0.0,0,0,12.0,0.436326
1/3/2015,Quarter1,finishing ,Saturday,4,0.8,4.15,,6600.0,0.0,0.0,0,0,20.0,0.988025
1/3/2015,Quarter1,finishing ,Saturday,11,0.75,2.9,,5640.0,0.0,0.0,0,0,17.0,0.98788
1/3/2015,Quarter1,finishing ,Saturday,9,0.8,4.15,,960.0,0.0,0.0,0,0,8.0,0.956271
1/3/2015,Quarter1,finishing ,Saturday,3,0.75,3.94,,1560.0,0.0,0.0,0,0,8.0,0.945278
1/3/2015,Quarter1,finishing ,Saturday,1,0.8,3.94,,960.0,0.0,0.0,0,0,8.0,0.902917
1/3/2015,Quarter1,sweing,Saturday,1,0.8,28.08,772.0,6300.0,50.0,0.0,0,0,56.5,0.800725
1/3/2015,Quarter1,sweing,Saturday,3,0.8,28.08,913.0,6540.0,50.0,0.0,0,0,54.5,0.800323
1/3/2015,Quarter1,sweing,Saturday,8,0.8,26.16,1261.0,7080.0,50.0,0.0,0,0,59.0,0.800319
1/3/2015,Quarter1,sweing,Saturday,12,0.8,26.16,844.0,7080.0,63.0,0.0,0,0,59.0,0.800319
1/3/2015,Quarter1,sweing,Saturday,11,0.8,11.61,1005.0,7080.0,50.0,0.0,0,0,29.5,0.800237
1/3/2015,Quarter1,sweing,Saturday,5,0.8,11.61,659.0,7080.0,50.0,0.0,0,0,31.5,0.800149
1/3/2015,Quarter1,sweing,Saturday,6,0.8,25.9,1152.0,6720.0,50.0,0.0,0,0,56.0,0.800125
1/3/2015,Quarter1,sweing,Saturday,7,0.8,25.9,1138.0,6720.0,38.0,0.0,0,0,56.0,0.800125
1/3/2015,Quarter1,sweing,Saturday,10,0.75,19.31,610.0,6480.0,56.0,0.0,0,0,54.0,0.7873
1/3/2015,Quarter1,finishing ,Saturday,2,0.8,4.15,,960.0,0.0,0.0,0,0,8.0,0.782448
