Age,Height,Matches,Minutes/Match,Goals/Match,Assists/Match,Yellow Cards/Match,Red Cards/Match,Shots/Match,Pass Success Rate,Aerials Won,class
25,192,224.0,86.9866071428571,0.0491071428571428,0.0625,0.1875,0.0089285714285714,0.5,85.3,2.2,Defender
27,189,67.0,69.3432835820896,0.552238805970149,0.134328358208955,0.0597014925373134,0.0,2.0,73.6,1.1,Forward
21,182,68.0,62.7352941176471,0.191176470588235,0.0441176470588235,0.0735294117647058,0.0,1.7,83.8,0.3,Midfielder
25,189,58.0,89.0172413793104,0.0,0.0,0.0862068965517241,0.0,0.0,74.3,0.3,Goalkeeper
25,180,173.0,55.7745664739884,0.0751445086705202,0.0809248554913294,0.144508670520231,0.0173410404624277,0.9,82.4,0.3,Midfielder
24,170,145.0,64.0068965517241,0.0482758620689655,0.124137931034483,0.110344827586207,0.0,0.9,84.2,0.4,Midfielder
28,186,342.0,70.0643274853801,0.169590643274854,0.175438596491228,0.187134502923977,0.0175438596491228,1.8,79.9,0.7,Midfielder
23,185,108.0,77.1851851851852,0.0462962962962962,0.0092592592592592,0.305555555555556,0.0185185185185185,1.0,86.1,0.7,Midfielder
20,181,17.0,44.0588235294118,0.117647058823529,0.0,0.294117647058824,0.0,1.1,81.3,0.1,Midfielder
21,176,75.0,50.92,0.0933333333333333,0.0133333333333333,0.0933333333333333,0.0,1.1,84.8,0.1,Midfielder
21,171,1.0,29.0,0.0,0.0,0.0,0.0,0.0,94.7,0.0,Defender
30,180,329.0,64.9696048632219,0.0668693009118541,0.094224924012158,0.285714285714286,0.0121580547112462,1.1,89.5,0.5,Midfielder
27,190,303.0,65.9273927392739,0.366336633663366,0.0792079207920792,0.0792079207920792,0.0,2.1,67.8,2.1,Forward
29,184,224.0,78.5714285714286,0.0580357142857142,0.0223214285714285,0.200892857142857,0.0267857142857142,0.6,84.2,1.6,Defender
35,191,533.0,82.2757973733583,0.0712945590994371,0.0431519699812382,0.133208255159475,0.0075046904315197,0.8,84.4,2.8,Defender
20,180,29.0,76.8620689655172,0.241379310344828,0.0,0.310344827586207,0.0,1.2,85.7,1.2,Midfielder
22,179,55.0,58.8909090909091,0.0727272727272727,0.163636363636364,0.0727272727272727,0.0181818181818181,1.3,75.6,0.4,Midfielder
21,195,79.0,55.2151898734177,0.189873417721519,0.0379746835443038,0.0759493670886076,0.0,1.2,69.0,1.2,Forward
34,188,135.0,89.237037037037,0.0,0.0148148148148148,0.0074074074074074,0.0074074074074074,0.0,56.9,0.3,Goalkeeper
22,178,14.0,67.4285714285714,0.357142857142857,0.142857142857143,0.0,0.0,1.0,82.4,0.2,Midfielder
22,187,40.0,61.075,0.025,0.05,0.125,0.025,0.6,82.0,1.0,Defender
20,179,75.0,66.4133333333333,0.106666666666667,0.0533333333333333,0.146666666666667,0.0,1.0,83.9,0.5,Midfielder
19,194,13.0,74.0769230769231,0.0,0.0,0.0769230769230769,0.0,0.4,87.3,1.2,Defender
